ID,Year,Title,Conference,Authors,Abstract,DOI,Thumbtail,Keywords,,,
1,2018,ColorMod: Recoloring 3D Printed Objects using Photochromic Inks,ACM CHI,"Parinya Punpongsanon, Xin Wen, David S Kim, Stefanie Mueller","Recent research has shown how to change the color of existing objects using photochromic materials. These materials can switch their appearance from transparent to colored when exposed to light of a certain wavelength. The color remains even when the object is removed from the light source. The process is fully reversible allowing users to recolor the object as many times as they want. In this paper, we present ColorFab, a method to extend this approach to multi-color changes (e.g., red-to-yellow)	[...]",https://doi.org/10.1145/3173574.3173787,http://hcie.csail.mit.edu/fabpub/img/colormod.jpg,Personal Fabrication; 3D Printing; Projector-Camera System,,,
2,2018,RoMA: Interactive Fabrication with Augmented Reality and a Robotic 3D Printer,ACM CHI,"Huaishu Peng, Jimmy Briggs, Cheng-Yao Wang, Kevin Guo, Joseph Kider, Stefanie Mueller, Patrick Baudisch, François Guimbretière","We present the Robotic Modeling Assistant (RoMA), an interactive fabrication system providing a fast, precise, hands-on and in-situ modeling experience. As a designer creates a new model using RoMA AR CAD editor, features are constructed concurrently by a 3D printing robotic arm sharing the same design volume. The partially printed physical model then serves as a tangible reference for the designer as she adds new elements to her design. RoMA's proxemics-inspired handshake mechanism between the designer and   	[...]",https://doi.org/10.1145/3173574.3174153,http://hcie.csail.mit.edu/fabpub/img/roma.jpg,3D Printing; Augmented Reality; Interactive Fabrication; CAD; Rapid Prototyping; Physical Prototyping,,,
3,2018,Digital Joinery For Hybrid Carpentry,ACM CHI,"Shiran Magrisso, Moran Mizrahi, Amit Zoran","The craft of carpentry relies on joinery: the connections between pieces of wood to create multipart structures. In traditional woodworking, joints are limited to the manual chisel skills of the craftsperson, or to capabilities of the machines, which favorite 90лЌ or 180лЌ angle joints with no more than two elements. We contribute an interactive design process in which joints are  	[...]",https://doi.org/10.1145/3173574.3174015,http://hcie.csail.mit.edu/fabpub/img/digital_joinery.PNG,3D Sculpting; Papercraft; Paper Electronics; Fabrication Techniques; Prototyping,,,
4,2018,PEP (3D Printed Electronic Papercrafts): An Integrated Approach for 3D Sculpting Paper-Based Electronic Devices,ACM CHI,"Hyunjoo Oh, Tung D. Ta, Ryo Suzuki, Mark D. Gross, Yoshihiro Kawahara, Lining Yao","We present PEP (Printed Electronic Papercrafts), a set of design and fabrication techniques to integrate electronic based interactivities into printed papercrafts via 3D sculpting. We explore the design space of PEP, integrating four functions into 3D paper products: actuation, sensing, display, and communication, leveraging the expressive and technical opportunities enabled by  	[...]",https://dl.acm.org/citation.cfm?doid=3173574.3173741,http://hcie.csail.mit.edu/fabpub/img/pep.jpg,Design; Carpentry; Woodwork; Joinery; 3D Printing; Hybrid; Digital Fabrication; CAD,,,
5,2018,MatchSticks: Woodworking through Improvisational Digital Fabrication,ACM CHI,"Rundong Tian, Sarah Sterman, Ethan Chiou, Jeremy Warner, Eric Paulos","Digital fabrication tools have broadened participation in making and enabled new methods of rapid physical prototyping across diverse materials. We present a novel smart tool designed to complement one of the first materials employed by humans - wood - and celebrate the fabrication practice of joinery. Our tool, MatchSticks, is a digital fabrication system tailored for joinery. Combining a portable CNC machine, touchscreen user interface, and parametric joint library, MatchSticks enables	[...]",https://doi.org/10.1145/3173574.3173723,http://hcie.csail.mit.edu/fabpub/img/matchsticks.PNG,Fabrication; Prototyping; Woodwork,,,
6,2018,RFIBricks: Interactive Building Blocks Based on RFID,ACM CHI,"Meng-Ju Hsieh, Rong-Hao Liang, Da-Yuan Huang, Jheng-You Ke, Bing-Yu Chen","We present RFIBricks, an interactive building block system based on ultrahigh frequency radio-frequency identification (RFID) sensing. The system enables geometry resolution based on a simple yet highly generalizable mechanism: an RFID contact switch, which is made by cutting each RFID tag into two parts, namely antenna and chip. A magnetic connector is then coupled with each part. When the antenna and chip connect, an interaction event with an ID is transmitted to the reader. On the basis of our design of RFID contact switch patterns	[...]",https://doi.org/10.1145/3173574.3173763,http://hcie.csail.mit.edu/fabpub/img/rfid.jpg,RFID; Tangible User Interface; Building Blocks; Constructive Assembly,,,
7,2018,PHUI-kit: Interface Layout and Fabrication on Curved 3D Printed Objects,ACM CHI,"Michael D Jones, Zann Anderson, Casey Walker, Kevin Seppi","We seek to make physical user interface (PHUI) design more like graphical user interface (GUI) design by using a drag-and drop interface to place widgets, allowing widgets to be repositioned and by hiding implementation details. PHUIs are interfaces built from tangible widgets arranged on the surfaces of physical objects. PHUI layout will become more important as we move from rectangular screens  	[...]",https://doi.org/10.1145/3173574.3173684,http://hcie.csail.mit.edu/fabpub/img/phui-kit.jpg,User Interface Layout; Fabrication; Maker Culture; Internet of Things,,,
8,2018,Double-sided Printed Tactile Display with Electro Stimuli and Electrostatic Forces and its Assessment,ACM CHI,"Kunihiro Kato, Hiroki Ishizuka, Hiroyuki Kajimoto, Homei Miyashita","Humans can perceive tactile sensation through multimodal stimuli. To demonstrate realistic pseudo tactile sensation for the users, a tactile display is needed that can provide multiple tactile stimuli. In this paper, we have explicated a novel printed tactile display that can provide both the electrical stimulus and the electrostatic force. The circuit patterns for each stimulus were fabricated by employing the technique of 	[...]",https://doi.org/10.1145/3173574.3174024,http://hcie.csail.mit.edu/fabpub/img/doubleprintedtactile.jpg,Tactile Display; Double-Sided Printing; Conductive Ink; Multiple Stimuli; Electrical Stimulus; Electrostatic Force,,,
9,2018,Sketch&Stitch;: Interactive Embroidery for E-textiles,ACM CHI,"Nur Al-huda Hamdan, Simon Voelker, Jan Borchers","E-Textiles are fabrics that integrate electronic circuits and components. Makers use them to create interactive clothing, furniture, and toys. However, this requires significant manual labor and skills, and using technology-centric design tools. We introduce Sketch&Stitch;, an interactive embroidery system to create e-textiles using a traditional crafting approach: Users draw their art and circuit directly on fabric using  	[...]",https://doi.org/10.1145/3173574.3173656,http://hcie.csail.mit.edu/fabpub/img/sketchstitch.jpg,E-textile; Embroidery; Interactive Fabrication; Physical Sketching,,,
10,2018,Grafter: Remixing 3D-Printed Machines,ACM CHI,"Thijs Jan Roumen, Willi Müller, Patrick Baudisch","Creating new 3D printed objects by recombining models found in hobbyist repositories has been referred to as _СТre-mixing_Сќ. In this paper, we explore how to best support users in remixing a specific class of 3D printed objects, namely those that perform mechanical functions. Grafter does two things. First, grafter largely automates the process of extracting and recombining mechanical elements from 3D printed machines. Second, it enforces a more efficient approach to reuse: it prevents users from extracting   	[...]",https://doi.org/10.1145/3173574.3173637,http://hcie.csail.mit.edu/fabpub/img/3dgrafter.jpg,Fabrication; 3D Printing; Remixing,,,
